region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Ohio,108245 (1438 -- 4369150),108245,1057700,4828010,1438,20370,58759,189049,517002,4369150,New confirmed cases by infection date,Likely increasing,0.19
US,28416 (12650 -- 83697),28416,36934,37130,12650,20748,25085,32700,42612,83697,New confirmed cases by infection date,Likely decreasing,0.62
Maine,11310 (323 -- 588648),11310,161651,723019,323,2345,6285,20755,57618,588648,New confirmed cases by infection date,Likely increasing,0.06
California,4765 (945 -- 21020),4765,7211,8525,945,2849,3882,5865,8451,21020,New confirmed cases by infection date,Stable,0.54
Texas,3646 (1745 -- 10159),3646,4513,3323,1745,2649,3232,4152,5293,10159,New confirmed cases by infection date,Stable,0.46
Missouri,2965 (408 -- 18442),2965,6255,19725,408,1492,2295,3813,5802,18442,New confirmed cases by infection date,Likely increasing,0.32
Kansas,2886 (346 -- 224530),2886,110509,1239070,346,1014,1842,4613,11306,224530,New confirmed cases by infection date,Likely increasing,0.16
Florida,2466 (5 -- 218707),2466,125158,1105960,5,405,1248,4588,13782,218707,New confirmed cases by infection date,Stable,0.45
Arkansas,2134 (462 -- 10300),2134,3788,11402,462,1195,1743,2643,3776,10300,New confirmed cases by infection date,Likely increasing,0.23
Nebraska,1731 (38 -- 322401),1731,113584,612797,38,318,889,3432,11456,322401,New confirmed cases by infection date,Likely increasing,0.19
Arizona,1683 (442 -- 6781),1683,2502,3539,442,1078,1440,1978,2672,6781,New confirmed cases by infection date,Stable,0.56
Oregon,1231 (183 -- 18905),1231,6334,35635,183,503,831,1833,3357,18905,New confirmed cases by infection date,Stable,0.4
Louisiana,1127 (451 -- 6041),1127,2209,6089,451,727,932,1344,1962,6041,New confirmed cases by infection date,Likely increasing,0.34
Washington,998 (240 -- 4337),998,1622,3408,240,616,831,1228,1617,4337,New confirmed cases by infection date,Likely decreasing,0.66
Georgia,995 (246 -- 6975),995,2726,17150,246,596,817,1234,1750,6975,New confirmed cases by infection date,Likely decreasing,0.7
Nevada,978 (306 -- 6512),978,2052,5988,306,606,801,1213,1793,6512,New confirmed cases by infection date,Likely increasing,0.27
New Mexico,922 (123 -- 37776),922,15227,95454,123,356,616,1454,3752,37776,New confirmed cases by infection date,Likely increasing,0.34
Illinois,903 (201 -- 6802),903,2013,5657,201,535,715,1115,1742,6802,New confirmed cases by infection date,Likely decreasing,0.73
Colorado,811 (248 -- 3329),811,1255,2182,248,528,688,947,1273,3329,New confirmed cases by infection date,Likely decreasing,0.68
Alabama,750 (116 -- 14434),750,13910,332279,116,364,558,1019,1768,14434,New confirmed cases by infection date,Likely decreasing,0.63
Pennsylvania,655 (245 -- 2476),655,952,1332,245,444,565,760,1009,2476,New confirmed cases by infection date,Likely decreasing,0.82
Mississippi,644 (214 -- 3291),644,1208,2832,214,413,546,761,1077,3291,New confirmed cases by infection date,Stable,0.46
North Carolina,611 (133 -- 2937),611,1025,2248,133,354,493,728,1016,2937,New confirmed cases by infection date,Likely decreasing,0.76
Tennessee,580 (42 -- 3692),580,1213,3416,42,305,469,736,1119,3692,New confirmed cases by infection date,Likely decreasing,0.62
Kentucky,550 (54 -- 10534),550,3728,23255,54,244,399,805,1736,10534,New confirmed cases by infection date,Stable,0.58
