forecast_date,submission_date,target,target_end_date,location,type,quantile,value,model
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,point,,48,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.01,14.9933333333333,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.025,17,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.05,20.65,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.1,25,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.15,28.2833333333333,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.2,31.6666666666667,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.25,34.6666666666667,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.3,37,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.35,39.6666666666667,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.4,42.6666666666667,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.45,45.3333333333333,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.5,48,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.55,51.3333333333333,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.6,54.8,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.65,58.6666666666667,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.7,63.6666666666667,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.75,69.6666666666667,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.8,75.7333333333333,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.85,84.3333333333333,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.9,95.7,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.95,114.683333333333,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.975,136.008333333333,mean
2021-07-19,2021-07-19,1 wk ahead inc death,2021-07-24,01,quantile,0.99,168.386666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,point,,63.6666666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.01,12.6633333333333,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.025,16.325,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.05,20.6666666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.1,27,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.15,32.6666666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.2,36.2666666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.25,40.6666666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.3,44.3333333333333,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.35,48.8833333333333,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.4,53.5333333333333,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.45,58.6666666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.5,63.6666666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.55,69.4833333333333,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.6,77.3333333333333,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.65,86.6666666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.7,96.8666666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.75,111.833333333333,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.8,128.733333333333,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.85,160.383333333333,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.9,210.533333333334,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.95,345.616666666666,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.975,546.591666666667,mean
2021-07-19,2021-07-19,2 wk ahead inc death,2021-07-31,01,quantile,0.99,1151.40333333333,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,point,,105.333333333333,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.01,13.33,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.025,17.9916666666667,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.05,24.3333333333333,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.1,31.3,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.15,39,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.2,45.2666666666667,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.25,52.6666666666667,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.3,61,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.35,67.8833333333333,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.4,79.5333333333333,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.45,92,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.5,105.333333333333,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.55,128.15,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.6,148.266666666667,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.65,179.333333333333,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.7,222.7,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.75,287.333333333334,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.8,370.333333333333,mean
2021-07-19,2021-07-19,3 wk ahead inc death,2021-08-07,01,quantile,0.85,516.1,mean
