Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Alabama,9524 (1269 -- 112433),Likely increasing,1.5 (0.85 -- 3),0.14 (-0.04 -- 0.47),4.9 (1.5 -- -17)
Alaska,467 (100 -- 2805),Likely increasing,1.2 (0.85 -- 2),0.06 (-0.042 -- 0.25),11 (2.8 -- -16)
Arizona,3374 (1609 -- 8108),Likely increasing,1.1 (0.88 -- 1.3),0.017 (-0.033 -- 0.084),40 (8.3 -- -21)
Arkansas,5513 (1895 -- 18801),Likely increasing,1.2 (0.84 -- 1.5),0.044 (-0.044 -- 0.13),16 (5.2 -- -16)
California,32025 (14100 -- 82981),Increasing,1.4 (1.1 -- 1.8),0.098 (0.024 -- 0.21),7.1 (3.4 -- 28)
Colorado,2251 (1428 -- 3919),Likely increasing,1.1 (0.94 -- 1.2),0.021 (-0.016 -- 0.064),34 (11 -- -42)
Connecticut,694 (237 -- 2479),Likely increasing,1.2 (0.86 -- 1.7),0.053 (-0.037 -- 0.19),13 (3.7 -- -18)
Delaware,326 (125 -- 851),Likely increasing,1.3 (0.97 -- 1.8),0.08 (-0.0073 -- 0.19),8.7 (3.6 -- -95)
District of Columbia,173 (42 -- 1005),Likely increasing,1.3 (0.88 -- 2.1),0.082 (-0.033 -- 0.28),8.4 (2.5 -- -21)
Florida,17645 (1026 -- 400739),Likely increasing,1.7 (0.47 -- 4.4),0.17 (-0.16 -- 0.74),4 (0.93 -- -4.3)
Georgia,5318 (1706 -- 18733),Likely increasing,1.2 (0.88 -- 1.7),0.052 (-0.035 -- 0.17),13 (4.1 -- -20)
Guam,23 (6 -- 67),Stable,0.98 (0.62 -- 1.2),-0.0067 (-0.11 -- 0.065),-100 (11 -- -6.3)
Hawaii,716 (391 -- 1525),Increasing,1.3 (1 -- 1.6),0.067 (0.014 -- 0.15),10 (4.7 -- 51)
Idaho,658 (271 -- 2148),Likely increasing,1.1 (0.92 -- 1.5),0.027 (-0.021 -- 0.13),26 (5.3 -- -32)
Illinois,3420 (816 -- 19460),Likely increasing,1.2 (0.74 -- 1.9),0.051 (-0.074 -- 0.23),13 (3 -- -9.4)
Indiana,1413 (511 -- 6961),Stable,1 (0.8 -- 1.5),0.004 (-0.058 -- 0.13),170 (5.3 -- -12)
Iowa,181 (19 -- 604),Likely decreasing,0.88 (0.38 -- 1.1),-0.033 (-0.19 -- 0.034),-21 (20 -- -3.6)
Kansas,24747 (3635 -- 252814),Increasing,1.8 (1.2 -- 3.2),0.19 (0.042 -- 0.49),3.6 (1.4 -- 16)
Kentucky,1566 (481 -- 10238),Likely increasing,1.1 (0.87 -- 1.9),0.035 (-0.037 -- 0.22),20 (3.1 -- -19)
Louisiana,9157 (3244 -- 33903),Likely increasing,1.3 (0.98 -- 1.8),0.074 (-0.0059 -- 0.21),9.4 (3.3 -- -120)
Maine,375 (144 -- 1330),Increasing,1.5 (1.1 -- 2.4),0.14 (0.025 -- 0.33),5 (2.1 -- 28)
Maryland,1044 (623 -- 1846),Increasing,1.3 (1.1 -- 1.6),0.091 (0.026 -- 0.16),7.6 (4.4 -- 27)
Massachusetts,1858 (484 -- 8771),Likely increasing,1.4 (0.91 -- 2.2),0.1 (-0.026 -- 0.29),6.7 (2.4 -- -26)
Michigan,602 (155 -- 4048),Stable,0.99 (0.68 -- 1.7),-0.0025 (-0.092 -- 0.17),-280 (4 -- -7.5)
Minnesota,987 (305 -- 4017),Likely increasing,1.2 (0.85 -- 1.8),0.048 (-0.043 -- 0.2),14 (3.5 -- -16)
Mississippi,2660 (1024 -- 7239),Likely increasing,1.2 (0.89 -- 1.6),0.054 (-0.03 -- 0.15),13 (4.7 -- -23)
Missouri,12143 (6174 -- 25989),Likely increasing,1.2 (0.97 -- 1.5),0.05 (-0.007 -- 0.12),14 (5.7 -- -99)
Montana,167 (69 -- 661),Stable,0.98 (0.8 -- 1.4),-0.0056 (-0.058 -- 0.093),-120 (7.5 -- -12)
Nebraska,501 (68 -- 3987),Likely increasing,1.2 (0.55 -- 2.1),0.041 (-0.13 -- 0.27),17 (2.6 -- -5.2)
Nevada,3675 (1585 -- 9208),Likely increasing,1.1 (0.9 -- 1.4),0.032 (-0.028 -- 0.11),22 (6.6 -- -25)
New Hampshire,107 (30 -- 469),Likely increasing,1.1 (0.69 -- 1.6),0.018 (-0.091 -- 0.16),38 (4.4 -- -7.6)
New Jersey,2233 (937 -- 6876),Likely increasing,1.2 (0.93 -- 1.7),0.051 (-0.018 -- 0.18),13 (3.9 -- -38)
New Mexico,675 (278 -- 2210),Likely increasing,1.1 (0.92 -- 1.6),0.037 (-0.021 -- 0.16),19 (4.3 -- -32)
New York,6462 (3669 -- 11013),Increasing,1.3 (1 -- 1.6),0.088 (0.013 -- 0.15),7.9 (4.6 -- 53)
North Carolina,5151 (1678 -- 22684),Likely increasing,1.2 (0.9 -- 1.9),0.063 (-0.029 -- 0.22),11 (3.1 -- -24)
North Dakota,137 (63 -- 292),Likely increasing,1.3 (0.9 -- 1.6),0.068 (-0.028 -- 0.17),10 (4.2 -- -24)
Northern Mariana Islands,0 (0 -- 0),Likely decreasing,0.14 (0.00013 -- 1.8),-0.29 (-0.4 -- 0.2),-2.4 (3.5 -- -1.7)
Ohio,2364 (1102 -- 5829),Likely increasing,1.2 (0.96 -- 1.6),0.055 (-0.0098 -- 0.15),13 (4.7 -- -70)
Oklahoma,3501 (1265 -- 13253),Likely increasing,1.2 (0.91 -- 1.7),0.053 (-0.025 -- 0.18),13 (3.8 -- -28)
Oregon,778 (337 -- 2286),Stable,0.99 (0.84 -- 1.3),-0.0024 (-0.046 -- 0.084),-290 (8.3 -- -15)
Pennsylvania,2166 (1198 -- 4070),Increasing,1.3 (1.1 -- 1.7),0.091 (0.018 -- 0.17),7.6 (4.1 -- 38)
Puerto Rico,1217 (387 -- 4323),Likely increasing,1.3 (0.92 -- 1.9),0.091 (-0.021 -- 0.23),7.6 (3 -- -33)
Rhode Island,143 (45 -- 753),Likely increasing,1.1 (0.81 -- 1.8),0.034 (-0.054 -- 0.2),20 (3.5 -- -13)
South Carolina,2919 (650 -- 15704),Likely increasing,1.3 (0.8 -- 2),0.08 (-0.057 -- 0.25),8.7 (2.7 -- -12)
South Dakota,25 (9 -- 108),Likely decreasing,0.9 (0.7 -- 1.3),-0.027 (-0.085 -- 0.075),-26 (9.3 -- -8.1)
Tennessee,1538 (256 -- 8512),Stable,1 (0.56 -- 1.5),0.008 (-0.13 -- 0.14),86 (5.1 -- -5.3)
Texas,22538 (11367 -- 57936),Increasing,1.3 (1.1 -- 1.8),0.079 (0.018 -- 0.19),8.8 (3.7 -- 38)
US,227902 (123950 -- 463439),Increasing,1.3 (1.1 -- 1.6),0.081 (0.025 -- 0.16),8.6 (4.4 -- 27)
Utah,2170 (922 -- 5869),Likely increasing,1 (0.82 -- 1.3),0.012 (-0.05 -- 0.081),58 (8.5 -- -14)
Vermont,100 (29 -- 420),Likely increasing,1.4 (0.9 -- 2.1),0.094 (-0.029 -- 0.27),7.4 (2.6 -- -24)
Virgin Islands,81 (27 -- 648),Likely increasing,1.1 (0.86 -- 1.7),0.017 (-0.041 -- 0.19),40 (3.7 -- -17)
Virginia,1453 (605 -- 3450),Likely increasing,1.1 (0.77 -- 1.4),0.028 (-0.067 -- 0.1),24 (6.7 -- -10)
Washington,1821 (816 -- 6686),Stable,0.99 (0.84 -- 1.4),-0.0041 (-0.046 -- 0.098),-170 (7.1 -- -15)
West Virginia,213 (52 -- 1413),Stable,1 (0.66 -- 1.7),0.0082 (-0.098 -- 0.18),84 (3.7 -- -7.1)
Wisconsin,831 (170 -- 4748),Likely increasing,1.2 (0.69 -- 1.9),0.049 (-0.089 -- 0.23),14 (3 -- -7.8)
Wyoming,318 (180 -- 665),Likely increasing,1 (0.9 -- 1.2),0.0034 (-0.027 -- 0.053),210 (13 -- -25)
